step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
25.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
35.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
40.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
45.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
50.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
55.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
60.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
65.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
70.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
75.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
80.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
85.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
90.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
95.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
100.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
105.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
110.0,0,0.0,0.0,11.488269800553098,0,0.0,0.8202809268066479,0,0.0
115.0,0,0.0,0.0,13.573315087029235,0,0.0,0.9691565111824723,0,0.0
120.0,0,0.0,0.0,13.781696591780976,0,0.0,0.9840352855161751,0,0.0
125.0,0,0.0,0.0,13.627373936607958,0,0.0,0.9730163999215409,0,0.0
130.0,0,0.0,0.0,13.527877478649364,0,0.0,0.9659121929203852,0,0.0
135.0,0,0.0,0.0,13.626950271565923,0,0.0,0.9729861495566583,0,0.0
140.0,0,0.0,0.0,13.682640583509103,0,0.0,0.9769625273305076,0,0.0
145.0,0,0.0,0.0,13.969032578657837,0,0.0,0.9974113760509039,0,0.0
150.0,0,0.0,0.0,13.64456508997687,0,0.0,0.974243875900356,0,0.0
155.0,0,0.0,0.0,13.611068073682011,0,0.0,0.9718521351031228,0,0.0
