step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
25.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
35.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
40.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
45.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
50.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
55.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
60.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
65.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
70.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
75.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
80.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
85.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
90.0,0,0.0,0.0,10.513272558921017,0,0.0,0.7298891732270997,0,0.0
95.0,0,0.0,0.0,13.968599508632906,0,0.0,0.9697769642474593,0,0.0
100.0,0,0.0,0.0,14.039587498147338,0,0.0,0.9747053407054421,0,0.0
105.0,0,0.0,0.0,14.183681015012152,0,0.0,0.9847091047382314,0,0.0
110.0,0,0.0,0.0,13.914296739239543,0,0.0,0.9660069674900909,0,0.0
115.0,0,0.0,0.0,14.033286381134129,0,0.0,0.9742678825247089,0,0.0
120.0,0,0.0,0.0,14.318118460563309,0,0.0,0.9940424912203343,0,0.0
125.0,0,0.0,0.0,14.017362620535604,0,0.0,0.9731623675299452,0,0.0
130.0,0,0.0,0.0,12.977579014826714,0,0.0,0.8878665329487945,0,0.0
135.0,0,0.0,0.0,14.437797292947598,0,0.0,0.9860368821915564,0,0.0
140.0,0,0.0,0.0,14.594520583862268,0,0.0,0.9965973388365355,0,0.0
145.0,0,0.0,0.0,7.393653166563832,0,0.0,0.4970115722290565,0,0.0
150.0,1,5.0,1.6666666666666667,8.258201732884869,1,5.0,0.5869298466037877,1,5.0
