step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
25.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
35.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
40.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
45.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
50.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
55.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
60.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
65.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
70.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
75.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
80.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
85.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
90.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
95.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
100.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
105.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
110.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
115.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
120.0,0,0.0,0.0,12.180793034527928,0,0.0,0.9834551337115536,0,0.0
125.0,0,0.0,0.0,12.175837157485315,0,0.0,0.8924278704711498,0,0.0
130.0,0,0.0,0.0,13.347078313216851,0,0.0,0.9664556289309232,0,0.0
135.0,0,0.0,0.0,13.584221718173293,0,0.0,0.9853931352284454,0,0.0
140.0,0,0.0,0.0,13.637084881406562,0,0.0,0.9877525743053688,0,0.0
145.0,0,0.0,0.0,13.727714854680752,0,0.0,0.9943815755926453,0,0.0
150.0,0,0.0,0.0,13.504545245300331,0,0.0,0.9777820559256838,0,0.0
155.0,0,0.0,0.0,13.338143890878936,0,0.0,0.9658849171385355,0,0.0
160.0,0,0.0,0.0,13.418893401549948,0,0.0,0.9714172185159934,0,0.0
