step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
360.0,0,0.0,0.0,12.789921838879238,0,0.0,0.9605163821888129,0,0.0
365.0,1,2.0,0.4,10.207469754812328,1,2.0,0.6640088153064814,1,2.0
370.0,0,0.0,0.0,11.25205014277235,0,0.0,0.9462143880522961,0,0.0
375.0,0,0.0,0.0,12.416625052354938,0,0.0,0.9914673527373962,0,0.0
380.0,0,0.0,0.0,11.345566211818616,0,0.0,0.760738561931536,0,0.0
385.0,1,3.0,0.42857142857142855,11.415069812359533,1,3.0,0.7493112777901547,1,3.0
390.0,1,8.0,1.1428571428571428,12.14459660610518,1,8.0,0.7357970507974394,1,8.0
395.0,1,13.0,1.8571428571428572,12.072215869518542,1,13.0,0.7304287806166316,1,13.0
400.0,1,18.0,2.5714285714285716,12.083484618586635,1,18.0,0.7372744543958901,1,18.0
405.0,1,23.0,3.2857142857142856,12.212242561353916,1,23.0,0.7376735952155888,1,23.0
410.0,1,28.0,4.0,12.264721932782406,1,28.0,0.7430676517975254,1,28.0
415.0,1,33.0,5.5,11.927184330914306,1,33.0,0.7408018809977563,1,33.0
420.0,1,38.0,6.333333333333333,11.345161476475626,1,38.0,0.6497593149488456,1,38.0
425.0,1,43.0,7.166666666666667,11.872913389653407,1,43.0,0.6635717300151135,1,43.0
430.0,1,48.0,6.857142857142857,9.48795647741871,1,48.0,0.4379676605059525,1,48.0
435.0,1,53.0,8.833333333333334,9.477593261158628,1,53.0,0.6593722292017502,1,53.0
440.0,1,58.0,7.25,10.043490928853798,1,58.0,0.706965652357946,1,58.0
445.0,1,63.0,9.0,10.453185343554628,1,63.0,0.7755383815247597,1,63.0
450.0,1,68.0,9.714285714285714,9.566919518422779,1,68.0,0.6061864146117595,1,68.0
455.0,2,78.0,11.142857142857142,9.778014122046342,2,78.0,0.5910949729950961,2,78.0
460.0,1,78.0,9.75,10.110357133273936,1,78.0,0.7398492272137354,1,78.0
465.0,1,83.0,10.375,10.928152952850372,1,83.0,0.7820894736053207,1,83.0
470.0,1,88.0,11.0,11.42517440924495,1,88.0,0.7902862832891231,1,88.0
475.0,1,93.0,11.625,11.551495473714954,1,93.0,0.784407683742607,1,93.0
480.0,1,98.0,14.0,11.25312368854432,1,98.0,0.7810412232177506,1,98.0
485.0,1,103.0,14.714285714285714,11.280549907274718,1,103.0,0.7344004768228212,1,103.0
490.0,1,108.0,15.428571428571429,11.231988221539492,1,108.0,0.7423044030631697,1,108.0
495.0,1,113.0,16.142857142857142,10.39686168103255,1,113.0,0.7237293877566895,1,113.0
500.0,1,118.0,16.857142857142858,10.19263878172977,1,118.0,0.6965022619155417,1,118.0
505.0,3,128.0,18.285714285714285,7.5395945348087094,3,128.0,0.3918201938450217,3,128.0
510.0,0,0.0,0.0,8.365104614806592,0,4.0,0.6876621441713527,0,4.0
515.0,0,0.0,0.0,10.034922584891017,0,0.0,0.9836133023692755,0,0.0
520.0,0,0.0,0.0,9.729079418744488,0,0.0,0.4946801689997975,0,0.0
525.0,1,5.0,0.7142857142857143,10.574582170865792,1,5.0,0.4916287920741814,1,5.0
530.0,1,10.0,1.4285714285714286,11.00753664889349,1,10.0,0.4871900697781192,1,10.0
535.0,1,15.0,2.5,10.872645012820152,1,15.0,0.49081722458221616,1,15.0
540.0,1,20.0,4.0,10.031554820576783,1,20.0,0.49977404940986997,1,20.0
545.0,1,25.0,5.0,10.25572104860397,1,25.0,0.49234603908487545,1,25.0
550.0,1,30.0,6.0,7.517984264815764,1,30.0,0.011488045161690809,1,30.0
555.0,2,40.0,6.666666666666667,8.18074779645764,2,40.0,0.3037028169360609,2,40.0
560.0,2,50.0,8.333333333333334,8.346022357295984,2,50.0,0.3212823366298028,2,50.0
565.0,2,60.0,8.571428571428571,8.913943955296466,2,60.0,0.47073550497425626,2,60.0
570.0,0,0.0,0.0,9.63915867273838,0,0.0,0.9840858892573827,0,0.0
575.0,0,0.0,0.0,10.844446139146134,0,0.0,0.9901981441001908,0,0.0
580.0,0,0.0,0.0,11.45058701756345,0,0.0,0.9682275430004788,0,0.0
585.0,0,0.0,0.0,13.281177192373171,0,0.0,0.9876799705284021,0,0.0
590.0,0,0.0,0.0,13.367044530730794,0,0.0,0.9756067739976277,0,0.0
595.0,0,0.0,0.0,12.914363019430496,0,0.0,0.9692431267581183,0,0.0
600.0,0,0.0,0.0,12.961488394886603,0,0.0,0.9668121142091697,0,0.0
605.0,0,0.0,0.0,12.994099128868926,0,0.0,0.9749709462358251,0,0.0
610.0,0,0.0,0.0,11.692264836716246,0,0.0,0.8300929962391852,0,0.0
615.0,1,4.0,0.5714285714285714,10.85894062675509,1,4.0,0.7411865334455776,1,4.0
620.0,1,9.0,1.2857142857142858,10.073036207341065,1,9.0,0.6488441193568728,1,9.0
625.0,1,14.0,2.0,9.883674595761365,1,14.0,0.743963573769415,1,14.0
630.0,1,19.0,2.111111111111111,10.619949188567377,1,19.0,0.7763210159844519,1,19.0
635.0,1,24.0,3.4285714285714284,10.841729612036602,1,24.0,0.8270721954424539,1,24.0
640.0,1,29.0,4.142857142857143,11.24997691090938,1,29.0,0.8219748954146574,1,29.0
645.0,1,34.0,4.857142857142857,11.164808355114697,1,34.0,0.8184540693449556,1,34.0
650.0,1,39.0,5.571428571428571,11.234578595040242,1,39.0,0.8214397381075321,1,39.0
655.0,1,44.0,5.5,9.872970466226135,1,44.0,0.6829504037013433,1,44.0
660.0,2,53.0,6.625,9.03928463584663,2,53.0,0.5914501514995195,2,53.0
665.0,3,68.0,8.5,8.321649037920258,3,68.0,0.5292491488170519,3,68.0
670.0,3,75.0,9.375,7.154468958922933,3,75.0,0.48940156912166377,3,75.0
675.0,3,90.0,11.25,7.627122371939371,3,90.0,0.48938220921399456,3,90.0
680.0,0,0.0,0.0,8.896848771126137,0,0.0,0.9875358326637569,0,0.0
685.0,0,0.0,0.0,9.344963015547187,0,0.0,0.7295387094935247,0,0.0
690.0,0,0.0,0.0,9.113386465375328,0,0.0,0.6678752629462551,0,0.0
695.0,1,5.0,0.625,10.813047535860745,1,5.0,0.6604495828685856,1,5.0
700.0,1,10.0,1.1111111111111112,10.210120704348348,1,10.0,0.5478520765438336,1,10.0
705.0,2,19.0,2.111111111111111,10.179728139850983,2,19.0,0.4888308841715498,2,19.0
710.0,2,29.0,3.2222222222222223,10.226026556161905,2,29.0,0.4979764272887216,2,29.0
715.0,2,39.0,4.333333333333333,10.197070849999527,2,39.0,0.4879600575544092,2,39.0
720.0,1,19.0,1.9,10.568542943724571,1,19.0,0.7210083888569434,1,19.0
725.0,1,24.0,2.4,10.906520195887358,1,24.0,0.7292729550970594,1,24.0
730.0,1,29.0,2.6363636363636362,11.587319522566865,1,29.0,0.7672703756467346,1,29.0
735.0,1,34.0,3.090909090909091,11.965648936871084,1,34.0,0.7836700352289766,1,34.0
740.0,1,39.0,3.5454545454545454,12.059624228744243,1,39.0,0.7413958142747881,1,39.0
745.0,1,44.0,6.285714285714286,11.409071998694097,1,44.0,0.734534892775517,1,44.0
750.0,1,49.0,6.125,11.421825497344354,1,49.0,0.7385504487377497,1,49.0
755.0,1,54.0,7.714285714285714,11.314057249092505,1,54.0,0.7496037512831097,1,54.0
