step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
25.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,10.26583302411018,0,0.0,0.6769958533466488,0,0.0
40.0,0,0.0,0.0,13.961306782439351,0,0.0,0.9207632421728846,0,0.0
45.0,0,0.0,0.0,14.978819010444049,0,0.0,0.9868053898353608,0,0.0
50.0,0,0.0,0.0,14.87473396137596,0,0.0,0.9801268178688147,0,0.0
55.0,0,0.0,0.0,14.976309892269846,0,0.0,0.9866390420636584,0,0.0
60.0,0,0.0,0.0,13.923510812659169,0,0.0,0.9195107803152295,0,0.0
65.0,0,0.0,0.0,14.852920112936587,0,0.0,0.9811472783899265,0,0.0
70.0,0,0.0,0.0,14.802354263761842,0,0.0,0.9777695577963686,0,0.0
75.0,0,0.0,0.0,14.958858808424154,0,0.0,0.988169596188064,0,0.0
80.0,0,0.0,0.0,14.870477030673825,0,0.0,0.9823866874695663,0,0.0
85.0,0,0.0,0.0,14.931445972643933,0,0.0,0.9864927052383057,0,0.0
90.0,0,0.0,0.0,14.806788652746457,0,0.0,0.9826728718377353,0,0.0
95.0,0,0.0,0.0,13.942463659447956,0,0.0,0.839169453005005,0,0.0
100.0,0,0.0,0.0,14.645515411014774,0,0.0,0.9526576389018955,0,0.0
105.0,0,0.0,0.0,14.033777524277056,0,0.0,0.9292349428682769,0,0.0
110.0,0,0.0,0.0,11.91232139255229,0,0.0,0.7069565022096004,0,0.0
115.0,1,5.0,0.8333333333333334,11.176558888188376,1,5.0,0.6622489080128912,1,5.0
120.0,1,10.0,1.6666666666666667,11.993912114355217,1,10.0,0.7388216990925687,1,10.0
125.0,1,15.0,2.5,11.883768722084803,1,15.0,0.7360097948836183,1,15.0
130.0,1,20.0,3.3333333333333335,12.014453346084013,1,20.0,0.7444890651297271,1,20.0
135.0,1,25.0,4.166666666666667,11.897049014378636,1,25.0,0.7345069918313051,1,25.0
