step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
20.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
25.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,10.326470140600577,0,0.0,0.7092750179479773,0,0.0
40.0,0,0.0,0.0,13.843449406174296,0,0.0,0.9503675587397662,0,0.0
45.0,0,0.0,0.0,14.246016158347784,0,0.0,0.9772239550483486,0,0.0
50.0,0,0.0,0.0,14.290885485101326,0,0.0,0.9803043486383496,0,0.0
55.0,0,0.0,0.0,14.313942100652794,0,0.0,0.98155758848371,0,0.0
60.0,0,0.0,0.0,13.590342587153629,0,0.0,0.8914801980063333,0,0.0
65.0,0,0.0,0.0,15.058570686012397,0,0.0,0.9774970822812615,0,0.0
70.0,0,0.0,0.0,15.230480879816477,0,0.0,0.987545487900031,0,0.0
75.0,0,0.0,0.0,15.13141883086997,0,0.0,0.9819787862326903,0,0.0
80.0,0,0.0,0.0,15.159763053253235,0,0.0,0.9828394056255304,0,0.0
85.0,0,0.0,0.0,15.307068632837636,0,0.0,0.9926012743738322,0,0.0
90.0,0,0.0,0.0,15.253660609790066,0,0.0,0.993990000388013,0,0.0
95.0,0,0.0,0.0,13.976547511032273,0,0.0,0.8720449535632012,0,0.0
100.0,0,0.0,0.0,14.852142692752043,0,0.0,0.9842074426461972,0,0.0
105.0,0,0.0,0.0,10.792933928139053,0,0.0,0.6127063144101397,0,0.0
110.0,1,5.0,1.0,11.11804605597365,1,5.0,0.652966269258612,1,5.0
115.0,1,10.0,1.6666666666666667,10.837610274518745,1,10.0,0.6803562037643666,1,10.0
120.0,1,15.0,2.5,11.32427733243616,1,15.0,0.7328252754327307,1,15.0
125.0,1,20.0,3.3333333333333335,11.229791286067128,1,20.0,0.7325605990086073,1,20.0
130.0,1,25.0,4.166666666666667,11.253698039155166,1,25.0,0.7304849453501812,1,25.0
135.0,1,30.0,5.0,11.274235932443004,1,30.0,0.7350996108127581,1,30.0
